2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
2018-05-16 16:26:39 INFO  Car - Speed:   0.0; Angle:   0.0; Position:   1,1; Key:  5; Health: 100.0; Tile: START
